date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:12	3308/3308	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Apr%202020%2016:06:11%20GMT	https://shurl.club/robots.txt		(from )
17:06:12	18000/18000	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Apr%202020%2016:06:11%20GMT	https://shurl.club/	C:/My%20Web%20Sites/New_Project/shurl.club/index.html	(from )
17:06:14	10676/10676	---M--	200	added ('OK')	image/png	etag:%2229b4-5a03ab51dacbb%22	https://shurl.club/content/favicon.png	C:/My%20Web%20Sites/New_Project/shurl.club/content/favicon.png	(from https://shurl.club/)
17:06:21	90906/90906	---M--	200	added ('OK')	text/css	etag:%221631a-59f3cce7cb38c%22	https://shurl.club/static/css/bootstrap.min.css	C:/My%20Web%20Sites/New_Project/shurl.club/static/css/bootstrap.min.css	(from https://shurl.club/)
17:06:27	112212/112212	---M--	200	added ('OK')	text/css	etag:%221b654-59f3cd360749c%22	https://shurl.club/themes/infinity/style.css	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/style.css	(from https://shurl.club/)
17:06:29	70584/70584	---M--	200	added ('OK')	text/css	etag:%22113b8-59f3cd35d481f%22	https://shurl.club/themes/infinity/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/css/material-design-iconic-font.min.css	(from https://shurl.club/)
17:06:29	1177/1177	---M--	200	added ('OK')	text/css	etag:%22499-59f3cd35d481f%22	https://shurl.club/themes/infinity/css/snackbar.min.css	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/css/snackbar.min.css	(from https://shurl.club/)
17:06:30	19296/19296	---M--	200	added ('OK')	text/css	etag:%224b60-59f3cce7cc32c%22	https://shurl.club/static/css/components.min.css	C:/My%20Web%20Sites/New_Project/shurl.club/static/css/components.min.css	(from https://shurl.club/)
17:06:35	57180/57180	---M--	200	added ('OK')	text/css	etag:%22df5c-59f3cce7d01ac%22	https://shurl.club/static/css/fa-all.min.css	C:/My%20Web%20Sites/New_Project/shurl.club/static/css/fa-all.min.css	(from https://shurl.club/)
17:06:37	17481/17481	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48f0-4449%22	http://cdnjs.cloudflare.com/ajax/libs/datepicker/0.6.4/datepicker.min.js?v=0.6.4	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/datepicker/0.6.4/datepicker.min208f.js	(from https://shurl.club/)
17:06:38	83606/83606	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.0.3/jquery.min.js	C:/My%20Web%20Sites/New_Project/ajax.googleapis.com/ajax/libs/jquery/2.0.3/jquery.min.js	(from https://shurl.club/)
17:06:38	3446/3446	---MCZ	200	added ('OK')	text/css	etag:W/%225afd48f0-d76%22	http://cdnjs.cloudflare.com/ajax/libs/datepicker/0.6.4/datepicker.min.css?v=0.6.4	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/datepicker/0.6.4/datepicker.min208f.css	(from https://shurl.club/)
17:06:38	26966/26966	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48de-6956%22	http://cdnjs.cloudflare.com/ajax/libs/chosen/1.1.0/chosen.jquery.min.js?v=1.1.0	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/chosen/1.1.0/chosen.jquery.min9f1e.js	(from https://shurl.club/)
17:06:39	4516/4516	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4939-11a4%22	http://cdnjs.cloudflare.com/ajax/libs/iCheck/1.0.1/icheck.min.js?v=1.0.1	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/iCheck/1.0.1/icheck.minf700.js	(from https://shurl.club/)
17:06:40	10276/10276	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48e9-2824%22	https://cdnjs.cloudflare.com/ajax/libs/clipboard.js/1.5.15/clipboard.min.js?v=1.5.15	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/clipboard.js/1.5.15/clipboard.min19cd.js	(from https://shurl.club/)
17:06:40	19802/19802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48ec-4d5a%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js?v=3.0.3	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min4c20.js	(from https://shurl.club/)
17:06:40	3938/3938	---MCZ	200	added ('OK')	text/css	etag:W/%225afd48e8-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css?v=3.0.3	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min4c20.css	(from https://shurl.club/)
17:06:41	13083/13083	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d682f00-331b%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.devbridge-autocomplete/1.4.10/jquery.autocomplete.min.js?v=1.1.5	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/jquery.devbridge-autocomplete/1.4.10/jquery.autocomplete.mind38a.js	(from https://shurl.club/)
17:06:48	25115/25115	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a5e-621b%22	http://cdnjs.cloudflare.com/ajax/libs/pace/0.4.17/pace.js?v=0.4.17	C:/My%20Web%20Sites/New_Project/cdnjs.cloudflare.com/ajax/libs/pace/0.4.17/pace95fa.js	(from https://shurl.club/)
17:06:51	38384/38384	---M--	200	added ('OK')	text/html	etag:%2295f0-59f3cd35de45f%22	https://shurl.club/themes/infinity/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/My%20Web%20Sites/New_Project/shurl.club/themes/infinity/fonts/Material-Design-Iconic-Fontd1f1.html	(from https://shurl.club/)
